60,60. Волшебные друзья,2021-08-16,0,0,0,0,0,0,2,35,0.05714285714285714
61,61. Храм Ицукисима,2021-08-16,0,0,0,0,1,5.0,2,64,0.03125
62,62. Миска рамэна,2021-08-16,0,0,0,0,5,5.0,19,375,0.050666666666666665
63,63. Лебедь,2021-08-16,1,0,0,0,0,1.0,5,133,0.03759398496240601
64,64. Котик-суши,2021-08-16,0,0,0,0,4,5.0,9,114,0.07894736842105263
65,65. Журавлик,2021-08-16,0,0,0,0,1,5.0,1,74,0.013513513513513514
66,66. Гора Фудзияма,2021-08-16,0,0,0,0,1,5.0,2,104,0.019230769230769232
67,67. Веточка сакуры,2021-08-16,0,0,0,0,2,5.0,4,114,0.03508771929824561
68,68. Веселый ролл,2021-08-16,0,0,0,0,3,5.0,7,62,0.11290322580645161
69,69. Аниме мальчик,2021-08-16,0,0,0,0,0,0,3,46,0.06521739130434782
70,70. Аниме девочка,2021-08-16,0,0,0,0,4,5.0,7,140,0.05
71,71. Чемпион по прыжкам,2021-08-16,1,0,0,0,0,1.0,2,9,0.2222222222222222
72,72. Удивительный тукан,2021-08-16,0,0,0,0,0,0,0,32,0.0
73,73. Сонный леопард,2021-08-16,0,0,0,0,0,0,0,22,0.0
74,74. Полосатый царь джунглей,2021-08-16,0,0,0,0,1,5.0,3,76,0.039473684210526314
75,75. Необычный утконос,2021-08-16,0,0,0,0,4,5.0,6,59,0.1016949152542373
76,76. Морская черепаха,2021-08-16,0,0,0,0,1,5.0,6,163,0.03680981595092025
77,77. Милая коала,2021-08-16,0,0,0,0,3,5.0,6,101,0.0594059405940594
78,78. Летающий попугай,2021-08-16,0,0,0,0,0,0,1,19,0.05263157894736842
79,79. Забавная ящерица,2021-08-16,0,0,0,0,2,5.0,4,75,0.05333333333333334
80,80. Австралийский крокодил,2021-08-16,0,0,0,0,0,0,0,15,0.0
81,81. Человек-пламя,2021-08-16,1,0,0,0,0,1.0,1,28,0.03571428571428571
82,82. Супер-луч,2021-08-16,0,0,0,0,0,0,2,27,0.07407407407407407
83,83. Супер тучка,2021-08-16,0,0,0,0,0,0,6,81,0.07407407407407407
84,84. Супер ниндзя,2021-08-16,0,0,0,0,0,0,0,33,0.0
85,85. Супер кролик,2021-08-16,0,0,0,0,1,5.0,1,11,0.09090909090909091
86,86. Реактивная белка,2021-08-16,0,0,0,0,1,5.0,1,19,0.05263157894736842
87,87. Маска супер мотылька,2021-08-16,0,0,0,0,0,0,1,40,0.025
88,88. Маска супер волка,2021-08-16,0,0,0,0,1,5.0,1,56,0.017857142857142856
89,89. Макарон-мэн,2021-08-16,0,0,0,0,1,5.0,4,68,0.058823529411764705
90,90. Ледяной супер мишка,2021-08-16,0,0,0,0,0,0,0,15,0.0
